NAME	left	right	DNA strand where the operon is coded	Evidence that support the existence of the operon's Tus
dapB	28374	29195	forward	[IHBCE|W|Inferred by a human based on computational evidence],[BTEI|W|Boundaries of transcription experimentally identified]
dauA	1258347	1260026	reverse	[ICWHO|W|Inferred computationally without human oversight]
dcm-vsr	2028472	2030341	reverse	
dcp	1623359	1625404	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
dcrB	3607978	3608535	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
dctA	3680184	3681470	reverse	[LTED|S|Length of transcript experimentally determined]
dcuB-fumB	4343703	4346767	reverse	"[LTED|S|Length of transcript experimentally determined]; [LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]"
dcuC	653806	655191	reverse	
dcuD	3372891	3374258	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
dcuSR	4347338	4349685	reverse	[ITCR|W|Inferred through co-regulation]
dcyD-yecSC	1995086	1997504	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
ddlA	399053	400147	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
ddpXABCDF	1555136	1561100	reverse	[PAGTSBP|W|Products of adjacent genes in the same biological process]
def-fmt	3431712	3433183	forward	[BTEI|W|Boundaries of transcription experimentally identified]
degP	180884	182308	forward	[LTED|S|Length of transcript experimentally determined],[ICWHO|W|Inferred computationally without human oversight]
degQS	3378765	3381289	forward	[ICWHO|W|Inferred computationally without human oversight]
deoCABD	4615346	4619625	forward	"[LTED|S|Length of transcript experimentally determined]; [PAGTSBP|W|Products of adjacent genes in the same biological process]"
deoR	881199	881957	reverse	[BTEI|W|Boundaries of transcription experimentally identified],[ICWHO|W|Inferred computationally without human oversight]
dfp	3810754	3811974	forward	[IHBCE|W|Inferred by a human based on computational evidence]
dgcZ	1620984	1621874	reverse	[BTEI|W|Boundaries of transcription experimentally identified],[ICWHO|W|Inferred computationally without human oversight]
dgkA	4254660	4255028	forward	[ICWHO|W|Inferred computationally without human oversight]
dgoRKADT	3868461	3873183	reverse	[ICWHO|W|Inferred computationally without human oversight]
dgt	179237	180754	forward	[ICWHO|W|Inferred computationally without human oversight]
dhaKLM	1246919	1250061	reverse	[ITCR|W|Inferred through co-regulation]
dhaR	1250289	1252208	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
diaA	3293831	3294421	forward	[IHBCE|W|Inferred by a human based on computational evidence]
dicA	1645958	1646365	forward	[ICWHO|W|Inferred computationally without human oversight]
dicB-ydfDE-insD-intQ	1647633	1650732	forward	[BTEI|W|Boundaries of transcription experimentally identified]
dicC-ydfXW	1645198	1645874	reverse	[ICWHO|W|Inferred computationally without human oversight]
dicF	1647406	1647458	forward	[ICWHO|W|Inferred computationally without human oversight]
dinB-yafNOP	250898	253161	forward	"[ICWHO|W|Inferred computationally without human oversight]; [LTED|S|Length of transcript experimentally determined],[CV(LTED/PM)|C|cross validation(LTED/PM)],[PM|S|Polar mutation]"
dinD	3815783	3816607	forward	[ICWHO|W|Inferred computationally without human oversight]
dinG	832293	834443	forward	
dinI	1120465	1120710	reverse	[ICWHO|W|Inferred computationally without human oversight]
dinJ-yafQ	245961	246502	reverse	[ICWHO|W|Inferred computationally without human oversight]
dinQ	3645728	3645811	reverse	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
dipZ-yjdC	4360756	4363065	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
djlA	57364	58179	forward	[ICWHO|W|Inferred computationally without human oversight]
dkgB	229167	229970	forward	[ICWHO|W|Inferred computationally without human oversight]
dld	2220207	2221922	forward	"[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]; [IC|W|Inferred by curator]"
dmlA	1879936	1881021	forward	[ICWHO|W|Inferred computationally without human oversight]
dmlR	1878910	1879833	reverse	[ICWHO|W|Inferred computationally without human oversight]
dmsABC	940182	944119	forward	
dnaAN-recF	3878171	3881752	reverse	[PM|S|Polar mutation]
dnaB	4262337	4263752	forward	[ICWHO|W|Inferred computationally without human oversight]
dnaK-tpke11-dnaJ	12163	15298	forward	"[PM|S|Polar mutation]; [IHBCE|W|Inferred by a human based on computational evidence]"
dnaQ	236067	236798	forward	[ICWHO|W|Inferred computationally without human oversight]
dnaX	491316	493247	forward	[LTED|S|Length of transcript experimentally determined],[ICWHO|W|Inferred computationally without human oversight]
dosCP	1561358	1565164	reverse	"[IC|W|Inferred by curator]; [LTED|S|Length of transcript experimentally determined],[ITCR|W|Inferred through co-regulation]"
dpiBA	651458	653765	forward	[LTED|S|Length of transcript experimentally determined],[PAGTSBP|W|Products of adjacent genes in the same biological process],[ICWHO|W|Inferred computationally without human oversight]
dppABCDF	3699887	3705728	reverse	[LTED|S|Length of transcript experimentally determined],[PAGTSBP|W|Products of adjacent genes in the same biological process]
dps	847631	848134	reverse	
dsbB	1231723	1232253	reverse	[ICWHO|W|Inferred computationally without human oversight]
dsbG	637050	637796	reverse	[ICWHO|W|Inferred computationally without human oversight]
dsdC	2474716	2475651	reverse	
dsdXA	2475869	2478552	forward	[BTEI|W|Boundaries of transcription experimentally identified]
dsrA	2023251	2023337	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
dsrB	2022659	2022847	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
dtpB	3638885	3640354	forward	[ICWHO|W|Inferred computationally without human oversight]
dtpD	740298	741779	reverse	"[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]; [IC|W|Inferred by curator]"
dusA	4259692	4260729	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
dusB-fis	3408302	3409589	forward	[BTEI|W|Boundaries of transcription experimentally identified]
dusC	2227460	2228407	reverse	[ICWHO|W|Inferred computationally without human oversight]
dut-slmA	3811955	3813113	forward	[IHBCE|W|Inferred by a human based on computational evidence],[PM|S|Polar mutation]
dxr	193521	194717	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
eaeH-insE-1EF-1F-1	313581	315677	forward	[ICWHO|W|Inferred computationally without human oversight]
eamA	1618262	1619161	reverse	[LTED|S|Length of transcript experimentally determined],[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
eamB	2713445	2714032	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
ebgAC	3220655	3224193	forward	
ebgR	3219488	3220471	forward	[ICWHO|W|Inferred computationally without human oversight]
ecnAB	4374340	4374722	forward	"[ICWHO|W|Inferred computationally without human oversight]; [LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]"
eco	2301927	2302415	forward	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
ecpA	309308	309895	reverse	[ICWHO|W|Inferred computationally without human oversight]
ecpBCDE	303719	309250	reverse	[ICWHO|W|Inferred computationally without human oversight]
ecpR	309970	310560	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
edd-eda	1930139	1932628	reverse	[LTED|S|Length of transcript experimentally determined]
efeOB	1081466	1083870	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
efeU_1U_2	1080579	1081408	forward	[ICWHO|W|Inferred computationally without human oversight]
efp	4373722	4374288	forward	[ICWHO|W|Inferred computationally without human oversight]
elaA	2379104	2379565	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
elaB	2378744	2379049	reverse	[ICWHO|W|Inferred computationally without human oversight]
elaD	2380735	2381946	forward	[ICWHO|W|Inferred computationally without human oversight]
elbB-mtgA	3347103	3348481	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
elfA	997091	997630	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
elfDCG-ycbUVF	997713	1003880	forward	[ICWHO|W|Inferred computationally without human oversight]
elyC	971845	972624	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
emrD	3851945	3853129	forward	[ICWHO|W|Inferred computationally without human oversight]
emrKY	2478660	2481361	reverse	"[ITCR|W|Inferred through co-regulation]; [IC|W|Inferred by curator]"
emtA	1242403	1243014	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
endA	3088369	3089076	forward	[BTEI|W|Boundaries of transcription experimentally identified]
entCEBAH	624108	628936	forward	"[IC|W|Inferred by curator]; [PM|S|Polar mutation]"
entS	621523	622773	forward	
envR	3410825	3411487	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
envY-ompT	583903	586131	reverse	
epd-pgk-fbaA	3068187	3071713	reverse	[LTED|S|Length of transcript experimentally determined],[CV(LTED/PM)|C|cross validation(LTED/PM)],[BTEI|W|Boundaries of transcription experimentally identified],[PM|S|Polar mutation]
epmA	4380666	4381643	forward	[ICWHO|W|Inferred computationally without human oversight]
epmB	4372652	4373680	reverse	[ICWHO|W|Inferred computationally without human oversight]
eptA	4331970	4333613	reverse	[IHBCE|W|Inferred by a human based on computational evidence]
eptB	3706807	3708498	reverse	[ICWHO|W|Inferred computationally without human oversight]
eptC	4146555	4148288	reverse	[ICWHO|W|Inferred computationally without human oversight]
erfK	2060415	2061347	reverse	[ICWHO|W|Inferred computationally without human oversight]
erpA	176610	176954	forward	
esrE	4018001	4018252	forward	[BTEI|W|Boundaries of transcription experimentally identified]
essD-rrrD-rzpD	576621	577791	forward	[ICWHO|W|Inferred computationally without human oversight]
essQ-ydfR-rrrQ-ydfP	1637054	1638609	reverse	[ICWHO|W|Inferred computationally without human oversight]
ettA	4626878	4628545	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
eutBCLKR	2552152	2556701	reverse	[ICWHO|W|Inferred computationally without human oversight]
eutHA	2563503	2566129	reverse	[ITCR|W|Inferred through co-regulation],[ICWHO|W|Inferred computationally without human oversight]
eutNEJG	2566346	2570072	reverse	[ICWHO|W|Inferred computationally without human oversight]
eutSPQTDM	2570179	2573827	reverse	[ICWHO|W|Inferred computationally without human oversight]
evgAS	2481777	2485989	forward	[IC|W|Inferred by curator]
exbBD	3148840	3150006	reverse	"[BTEI|W|Boundaries of transcription experimentally identified]; [ITCR|W|Inferred through co-regulation],[BTEI|W|Boundaries of transcription experimentally identified]"
exuR	3244674	3245450	forward	[IMP|W|Inferred from mutant phenotype],[IEP|W|Inferred from expression pattern]
exuT	3243126	3244544	forward	[IMP|W|Inferred from mutant phenotype],[BTEI|W|Boundaries of transcription experimentally identified]
fabA	1015175	1015693	reverse	
fabB	2438407	2439627	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
fabI	1348275	1349063	reverse	[ICWHO|W|Inferred computationally without human oversight]
fabR-yijD	4159090	4160153	forward	[ICWHO|W|Inferred computationally without human oversight]
fadBA	4025632	4028994	reverse	[PAGTSBP|W|Products of adjacent genes in the same biological process]
fadD-sroD	1886041	1887770	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
fadE	240859	243303	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
fadH	3229687	3231705	forward	[ICWHO|W|Inferred computationally without human oversight]
fadIJ	2455037	2458491	reverse	
fadL	2459322	2460668	forward	[IHBCE|W|Inferred by a human based on computational evidence]
fadM	463626	464024	forward	[ICWHO|W|Inferred computationally without human oversight]
fadR	1234161	1234880	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit],[BTEI|W|Boundaries of transcription experimentally identified]
fbaB	2175534	2176586	reverse	[ICWHO|W|Inferred computationally without human oversight]
fbp	4452634	4453632	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
fdhD	4084039	4084872	forward	[ICWHO|W|Inferred computationally without human oversight]
fdhF	4295242	4297389	reverse	
fdnGHI	1545425	1550015	forward	
fdoGHI-fdhE	4078322	4083845	reverse	[IC|W|Inferred by curator]
fdrA-ylbE_1E_2F-ybcF	545904	550555	forward	[ICWHO|W|Inferred computationally without human oversight]
feaB	1445543	1447042	forward	"[BTEI|W|Boundaries of transcription experimentally identified]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit],[BTEI|W|Boundaries of transcription experimentally identified]"
feaR	1444402	1445307	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
fecABCDE	4508713	4514700	reverse	"[IC|W|Inferred by curator]; [LTED|S|Length of transcript experimentally determined],[ITCR|W|Inferred through co-regulation],[CV(LTED/PM)|C|cross validation(LTED/PM)],[IEP|W|Inferred from expression pattern],[PM|S|Polar mutation]"
